Ship,Class,Type,Engineering,Experimental,ShieldStrength,RegenRate,ExpRes,KinRes,ThermRes
Adder,1,Normal,Thermal resistant,Thermo Block,54.1961,1,0.5,0.72,0.552
Adder,1,Normal,Thermal resistant,Multi-weave,55.8723,1,0.485,0.6984,0.582
Adder,1,Normal,Kinetic resistant,Fast Charge,55.8723,1.15,0.5075,0.3045,1.4007
Adder,1,Normal,Kinetic resistant,Force Block,54.1961,1,0.5,0.276,1.38
Adder,1,Normal,Kinetic resistant,Hi-Cap,59.2246,1,0.5,0.3,1.38
Adder,1,Normal,Kinetic resistant,Thermo Block,54.1961,1,0.5,0.3,1.2696
Adder,1,Normal,Kinetic resistant,Multi-weave,55.8723,1,0.485,0.291,1.3386
Adder,1,Prismatic,Reinforced,Fast Charge,101.9437,1.15,0.4238,0.5085,1.017
Adder,1,Prismatic,Reinforced,Force Block,98.8854,1,0.4175,0.4609,1.002
Adder,1,Prismatic,Reinforced,Hi-Cap,108.0604,1,0.4175,0.501,1.002
Adder,1,Prismatic,Reinforced,Thermo Block,98.8854,1,0.4175,0.501,0.9218
Adder,1,Prismatic,Reinforced,Multi-weave,101.9437,1,0.405,0.486,0.9719
Adder,1,Prismatic,Thermal resistant,Fast Charge,73.8723,1.15,0.5075,0.7308,0.609
Adder,1,Prismatic,Thermal resistant,Force Block,71.6561,1,0.5,0.6624,0.6
Adder,1,Prismatic,Thermal resistant,Hi-Cap,78.3046,1,0.5,0.72,0.6
Adder,1,Prismatic,Thermal resistant,Thermo Block,71.6561,1,0.5,0.72,0.552
Adder,1,Prismatic,Thermal resistant,Multi-weave,73.8723,1,0.485,0.6984,0.582
Adder,1,Prismatic,Kinetic resistant,Fast Charge,73.8723,1.15,0.5075,0.3045,1.4007
Adder,1,Prismatic,Kinetic resistant,Force Block,71.6561,1,0.5,0.276,1.38
Adder,1,Prismatic,Kinetic resistant,Hi-Cap,78.3046,1,0.5,0.3,1.38
Adder,1,Prismatic,Kinetic resistant,Thermo Block,71.6561,1,0.5,0.3,1.2696
Adder,1,Prismatic,Kinetic resistant,Multi-weave,73.8723,1,0.485,0.291,1.3386
Adder,2,Bi-Weave,Reinforced,Fast Charge,103.5491,2.07,0.4238,0.5085,1.017
Adder,2,Bi-Weave,Reinforced,Force Block,100.4402,1.8,0.4175,0.4609,1.002
Adder,2,Bi-Weave,Reinforced,Hi-Cap,109.7608,1.8,0.4175,0.501,1.002
Adder,2,Bi-Weave,Reinforced,Thermo Block,100.4402,1.8,0.4175,0.501,0.9218
Adder,2,Bi-Weave,Reinforced,Multi-weave,103.5491,1.8,0.405,0.486,0.9719
Adder,2,Bi-Weave,Thermal resistant,Fast Charge,75.0356,2.07,0.5075,0.7308,0.609
Adder,2,Bi-Weave,Thermal resistant,Force Block,72.7845,1.8,0.5,0.6624,0.6
Adder,2,Bi-Weave,Thermal resistant,Hi-Cap,79.5377,1.8,0.5,0.72,0.6
Adder,2,Bi-Weave,Thermal resistant,Thermo Block,72.7845,1.8,0.5,0.72,0.552
Adder,2,Bi-Weave,Thermal resistant,Multi-weave,75.0356,1.8,0.485,0.6984,0.582
Adder,2,Bi-Weave,Kinetic resistant,Fast Charge,75.0356,2.07,0.5075,0.3045,1.4007
Adder,2,Bi-Weave,Kinetic resistant,Force Block,72.7845,1.8,0.5,0.276,1.38
Adder,2,Bi-Weave,Kinetic resistant,Hi-Cap,79.5377,1.8,0.5,0.3,1.38
Adder,2,Bi-Weave,Kinetic resistant,Thermo Block,72.7845,1.8,0.5,0.3,1.2696
Adder,2,Bi-Weave,Kinetic resistant,Multi-weave,75.0356,1.8,0.485,0.291,1.3386
Adder,2,Normal,Reinforced,Fast Charge,128.3891,1.15,0.4238,0.5085,1.017
Adder,2,Normal,Reinforced,Force Block,124.5362,1,0.4175,0.4609,1.002
Adder,2,Normal,Reinforced,Hi-Cap,136.0948,1,0.4175,0.501,1.002
Adder,2,Normal,Reinforced,Thermo Block,124.5362,1,0.4175,0.501,0.9218
Adder,2,Normal,Reinforced,Multi-weave,128.3891,1,0.405,0.486,0.9719
Adder,2,Normal,Thermal resistant,Fast Charge,93.0356,1.15,0.5075,0.7308,0.609
Adder,2,Normal,Thermal resistant,Force Block,90.2445,1,0.5,0.6624,0.6
Adder,2,Normal,Thermal resistant,Hi-Cap,98.6177,1,0.5,0.72,0.6
Adder,2,Normal,Thermal resistant,Thermo Block,90.2445,1,0.5,0.72,0.552
Adder,2,Normal,Thermal resistant,Multi-weave,93.0356,1,0.485,0.6984,0.582
Adder,2,Normal,Kinetic resistant,Fast Charge,93.0356,1.15,0.5075,0.3045,1.4007
Adder,2,Normal,Kinetic resistant,Force Block,90.2445,1,0.5,0.276,1.38
Adder,2,Normal,Kinetic resistant,Hi-Cap,98.6177,1,0.5,0.3,1.38
Adder,2,Normal,Kinetic resistant,Thermo Block,90.2445,1,0.5,0.3,1.2696
Adder,2,Normal,Kinetic resistant,Multi-weave,93.0356,1,0.485,0.291,1.3386
Adder,2,Prismatic,Reinforced,Fast Charge,148.3084,1.15,0.4238,0.5085,1.017
Adder,2,Prismatic,Reinforced,Force Block,143.8591,1,0.4175,0.4609,1.002
Adder,2,Prismatic,Reinforced,Hi-Cap,157.2069,1,0.4175,0.501,1.002
Adder,2,Prismatic,Reinforced,Thermo Block,143.8591,1,0.4175,0.501,0.9218
Adder,2,Prismatic,Reinforced,Multi-weave,148.3084,1,0.405,0.486,0.9719
Adder,2,Prismatic,Thermal resistant,Fast Charge,107.4698,1.15,0.5075,0.7308,0.609
Adder,2,Prismatic,Thermal resistant,Force Block,104.2457,1,0.5,0.6624,0.6
Adder,2,Prismatic,Thermal resistant,Hi-Cap,113.918,1,0.5,0.72,0.6
Adder,2,Prismatic,Thermal resistant,Thermo Block,104.2457,1,0.5,0.72,0.552
Adder,2,Prismatic,Thermal resistant,Multi-weave,107.4698,1,0.485,0.6984,0.582
Adder,2,Prismatic,Kinetic resistant,Fast Charge,107.4698,1.15,0.5075,0.3045,1.4007
Adder,2,Prismatic,Kinetic resistant,Force Block,104.2457,1,0.5,0.276,1.38
Adder,2,Prismatic,Kinetic resistant,Hi-Cap,113.918,1,0.5,0.3,1.38
Adder,2,Prismatic,Kinetic resistant,Thermo Block,104.2457,1,0.5,0.3,1.2696
Adder,2,Prismatic,Kinetic resistant,Multi-weave,107.4698,1,0.485,0.291,1.3386
Adder,3,Bi-Weave,Reinforced,Fast Charge,115.92,2.07,0.4238,0.5085,1.017
Adder,3,Bi-Weave,Reinforced,Force Block,112.44,1.8,0.4175,0.4609,1.002
Adder,3,Bi-Weave,Reinforced,Hi-Cap,122.874,1.8,0.4175,0.501,1.002
Adder,3,Bi-Weave,Reinforced,Thermo Block,112.44,1.8,0.4175,0.501,0.9218
Adder,3,Bi-Weave,Reinforced,Multi-weave,115.92,1.8,0.405,0.486,0.9719
Adder,3,Bi-Weave,Thermal resistant,Fast Charge,84.0,2.07,0.5075,0.7308,0.609
Adder,3,Bi-Weave,Thermal resistant,Force Block,81.48,1.8,0.5,0.6624,0.6
Adder,3,Bi-Weave,Thermal resistant,Hi-Cap,89.04,1.8,0.5,0.72,0.6
Adder,3,Bi-Weave,Thermal resistant,Thermo Block,81.48,1.8,0.5,0.72,0.552
Adder,3,Bi-Weave,Thermal resistant,Multi-weave,84.0,1.8,0.485,0.6984,0.582
Adder,3,Bi-Weave,Kinetic resistant,Fast Charge,84.0,2.07,0.5075,0.3045,1.4007
Adder,3,Bi-Weave,Kinetic resistant,Force Block,81.48,1.8,0.5,0.276,1.38
Adder,3,Bi-Weave,Kinetic resistant,Hi-Cap,89.04,1.8,0.5,0.3,1.38
Adder,3,Bi-Weave,Kinetic resistant,Thermo Block,81.48,1.8,0.5,0.3,1.2696
Adder,3,Bi-Weave,Kinetic resistant,Multi-weave,84.0,1.8,0.485,0.291,1.3386
Adder,3,Normal,Reinforced,Fast Charge,140.76,1.15,0.4238,0.5085,1.017
Adder,3,Normal,Reinforced,Force Block,136.536,1,0.4175,0.4609,1.002
Adder,3,Normal,Reinforced,Hi-Cap,149.208,1,0.4175,0.501,1.002
Adder,3,Normal,Reinforced,Thermo Block,136.536,1,0.4175,0.501,0.9218
Adder,3,Normal,Reinforced,Multi-weave,140.76,1,0.405,0.486,0.9719
Adder,3,Normal,Thermal resistant,Fast Charge,102.0,1.15,0.5075,0.7308,0.609
Adder,3,Normal,Thermal resistant,Force Block,98.94,1,0.5,0.6624,0.6
Adder,3,Normal,Thermal resistant,Hi-Cap,108.12,1,0.5,0.72,0.6
Adder,3,Normal,Thermal resistant,Thermo Block,98.94,1,0.5,0.72,0.552
Adder,3,Normal,Thermal resistant,Multi-weave,102.0,1,0.485,0.6984,0.582
Adder,3,Normal,Kinetic resistant,Fast Charge,102.0,1.15,0.5075,0.3045,1.4007
Adder,3,Normal,Kinetic resistant,Force Block,98.94,1,0.5,0.276,1.38
Adder,3,Normal,Kinetic resistant,Hi-Cap,108.12,1,0.5,0.3,1.38
Adder,3,Normal,Kinetic resistant,Thermo Block,98.94,1,0.5,0.3,1.2696
Adder,3,Normal,Kinetic resistant,Multi-weave,102.0,1,0.485,0.291,1.3386
Adder,3,Prismatic,Reinforced,Fast Charge,165.6,1.15,0.4238,0.5085,1.017
Adder,3,Prismatic,Reinforced,Force Block,160.632,1,0.4175,0.4609,1.002
Adder,3,Prismatic,Reinforced,Hi-Cap,175.536,1,0.4175,0.501,1.002
Adder,3,Prismatic,Reinforced,Thermo Block,160.632,1,0.4175,0.501,0.9218
Adder,3,Prismatic,Reinforced,Multi-weave,165.6,1,0.405,0.486,0.9719
Adder,3,Prismatic,Thermal resistant,Fast Charge,120.0,1.15,0.5075,0.7308,0.609
Adder,3,Prismatic,Thermal resistant,Force Block,116.4,1,0.5,0.6624,0.6
Adder,3,Prismatic,Thermal resistant,Hi-Cap,127.2,1,0.5,0.72,0.6
Adder,3,Prismatic,Thermal resistant,Thermo Block,116.4,1,0.5,0.72,0.552
Adder,3,Prismatic,Thermal resistant,Multi-weave,120.0,1,0.485,0.6984,0.582
Adder,3,Prismatic,Kinetic resistant,Fast Charge,120.0,1.15,0.5075,0.3045,1.4007
Adder,3,Prismatic,Kinetic resistant,Force Block,116.4,1,0.5,0.276,1.38
Adder,3,Prismatic,Kinetic resistant,Hi-Cap,127.2,1,0.5,0.3,1.38
Adder,3,Prismatic,Kinetic resistant,Thermo Block,116.4,1,0.5,0.3,1.2696
Adder,3,Prismatic,Kinetic resistant,Multi-weave,120.0,1,0.485,0.291,1.3386
Alliance Challenger,4,Bi-Weave,Reinforced,Fast Charge,168.1736,2.07,0.4238,0.5085,1.017
Alliance Challenger,4,Bi-Weave,Reinforced,Force Block,163.1196,1.8,0.4175,0.4609,1.002
Alliance Challenger,4,Bi-Weave,Reinforced,Hi-Cap,178.2596,1.8,0.4175,0.501,1.002
Alliance Challenger,4,Bi-Weave,Reinforced,Thermo Block,163.1196,1.8,0.4175,0.501,0.9218
Alliance Challenger,4,Bi-Weave,Reinforced,Multi-weave,168.1736,1.8,0.405,0.486,0.9719
Alliance Challenger,4,Bi-Weave,Thermal resistant,Fast Charge,121.8649,2.07,0.5075,0.7308,0.609
Alliance Challenger,4,Bi-Weave,Thermal resistant,Force Block,118.209,1.8,0.5,0.6624,0.6
Alliance Challenger,4,Bi-Weave,Thermal resistant,Hi-Cap,129.1768,1.8,0.5,0.72,0.6
Alliance Challenger,4,Bi-Weave,Thermal resistant,Thermo Block,118.209,1.8,0.5,0.72,0.552
Alliance Challenger,4,Bi-Weave,Thermal resistant,Multi-weave,121.8649,1.8,0.485,0.6984,0.582
Alliance Challenger,4,Bi-Weave,Kinetic resistant,Fast Charge,121.8649,2.07,0.5075,0.3045,1.4007
Alliance Challenger,4,Bi-Weave,Kinetic resistant,Force Block,118.209,1.8,0.5,0.276,1.38
Alliance Challenger,4,Bi-Weave,Kinetic resistant,Hi-Cap,129.1768,1.8,0.5,0.3,1.38
Alliance Challenger,4,Bi-Weave,Kinetic resistant,Thermo Block,118.209,1.8,0.5,0.3,1.2696
Alliance Challenger,4,Bi-Weave,Kinetic resistant,Multi-weave,121.8649,1.8,0.485,0.291,1.3386
Alliance Challenger,4,Normal,Reinforced,Fast Charge,259.2536,1.15,0.4238,0.5085,1.017
Alliance Challenger,4,Normal,Reinforced,Force Block,251.4716,1,0.4175,0.4609,1.002
Alliance Challenger,4,Normal,Reinforced,Hi-Cap,274.8176,1,0.4175,0.501,1.002
Alliance Challenger,4,Normal,Reinforced,Thermo Block,251.4716,1,0.4175,0.501,0.9218
Alliance Challenger,4,Normal,Reinforced,Multi-weave,259.2536,1,0.405,0.486,0.9719
Alliance Challenger,4,Normal,Thermal resistant,Fast Charge,187.8649,1.15,0.5075,0.7308,0.609
Alliance Challenger,4,Normal,Thermal resistant,Force Block,182.229,1,0.5,0.6624,0.6
Alliance Challenger,4,Normal,Thermal resistant,Hi-Cap,199.1368,1,0.5,0.72,0.6
Alliance Challenger,4,Normal,Thermal resistant,Thermo Block,182.229,1,0.5,0.72,0.552
Alliance Challenger,4,Normal,Thermal resistant,Multi-weave,187.8649,1,0.485,0.6984,0.582
Alliance Challenger,4,Normal,Kinetic resistant,Fast Charge,187.8649,1.15,0.5075,0.3045,1.4007
Alliance Challenger,4,Normal,Kinetic resistant,Force Block,182.229,1,0.5,0.276,1.38
Alliance Challenger,4,Normal,Kinetic resistant,Hi-Cap,199.1368,1,0.5,0.3,1.38
Alliance Challenger,4,Normal,Kinetic resistant,Thermo Block,182.229,1,0.5,0.3,1.2696
Alliance Challenger,4,Normal,Kinetic resistant,Multi-weave,187.8649,1,0.485,0.291,1.3386
Alliance Challenger,4,Prismatic,Reinforced,Fast Charge,350.3336,1.15,0.4238,0.5085,1.017
Alliance Challenger,4,Prismatic,Reinforced,Force Block,339.8236,1,0.4175,0.4609,1.002
Alliance Challenger,4,Prismatic,Reinforced,Hi-Cap,371.3536,1,0.4175,0.501,1.002
Alliance Challenger,4,Prismatic,Reinforced,Thermo Block,339.8236,1,0.4175,0.501,0.9218
Alliance Challenger,4,Prismatic,Reinforced,Multi-weave,350.3336,1,0.405,0.486,0.9719
Alliance Challenger,4,Prismatic,Thermal resistant,Fast Charge,253.8649,1.15,0.5075,0.7308,0.609
Alliance Challenger,4,Prismatic,Thermal resistant,Force Block,246.249,1,0.5,0.6624,0.6
Alliance Challenger,4,Prismatic,Thermal resistant,Hi-Cap,269.0968,1,0.5,0.72,0.6
Alliance Challenger,4,Prismatic,Thermal resistant,Thermo Block,246.249,1,0.5,0.72,0.552
Alliance Challenger,4,Prismatic,Thermal resistant,Multi-weave,253.8649,1,0.485,0.6984,0.582
Alliance Challenger,4,Prismatic,Kinetic resistant,Fast Charge,253.8649,1.15,0.5075,0.3045,1.4007
Alliance Challenger,4,Prismatic,Kinetic resistant,Force Block,246.249,1,0.5,0.276,1.38
Alliance Challenger,4,Prismatic,Kinetic resistant,Hi-Cap,269.0968,1,0.5,0.3,1.38
Alliance Challenger,4,Prismatic,Kinetic resistant,Thermo Block,246.249,1,0.5,0.3,1.2696
Alliance Challenger,4,Prismatic,Kinetic resistant,Multi-weave,253.8649,1,0.485,0.291,1.3386
Alliance Challenger,5,Bi-Weave,Reinforced,Fast Charge,247.5002,2.53,0.4238,0.5085,1.017
Alliance Challenger,5,Bi-Weave,Reinforced,Force Block,240.0664,2.2,0.4175,0.4609,1.002
Alliance Challenger,5,Bi-Weave,Reinforced,Hi-Cap,262.3458,2.2,0.4175,0.501,1.002
Alliance Challenger,5,Bi-Weave,Reinforced,Thermo Block,240.0664,2.2,0.4175,0.501,0.9218
Alliance Challenger,5,Bi-Weave,Reinforced,Multi-weave,247.5002,2.2,0.405,0.486,0.9719
Alliance Challenger,5,Bi-Weave,Thermal resistant,Fast Charge,179.348,2.53,0.5075,0.7308,0.609
Alliance Challenger,5,Bi-Weave,Thermal resistant,Force Block,173.9675,2.2,0.5,0.6624,0.6
Alliance Challenger,5,Bi-Weave,Thermal resistant,Hi-Cap,190.1088,2.2,0.5,0.72,0.6
Alliance Challenger,5,Bi-Weave,Thermal resistant,Thermo Block,173.9675,2.2,0.5,0.72,0.552
Alliance Challenger,5,Bi-Weave,Thermal resistant,Multi-weave,179.348,2.2,0.485,0.6984,0.582
Alliance Challenger,5,Bi-Weave,Kinetic resistant,Fast Charge,179.348,2.53,0.5075,0.3045,1.4007
Alliance Challenger,5,Bi-Weave,Kinetic resistant,Force Block,173.9675,2.2,0.5,0.276,1.38
Alliance Challenger,5,Bi-Weave,Kinetic resistant,Hi-Cap,190.1088,2.2,0.5,0.3,1.38
Alliance Challenger,5,Bi-Weave,Kinetic resistant,Thermo Block,173.9675,2.2,0.5,0.3,1.2696
Alliance Challenger,5,Bi-Weave,Kinetic resistant,Multi-weave,179.348,2.2,0.485,0.291,1.3386
Alliance Challenger,5,Normal,Reinforced,Fast Charge,338.5802,1.15,0.4238,0.5085,1.017
Alliance Challenger,5,Normal,Reinforced,Force Block,328.4184,1,0.4175,0.4609,1.002
Alliance Challenger,5,Normal,Reinforced,Hi-Cap,358.9038,1,0.4175,0.501,1.002
Alliance Challenger,5,Normal,Reinforced,Thermo Block,328.4184,1,0.4175,0.501,0.9218
Alliance Challenger,5,Normal,Reinforced,Multi-weave,338.5802,1,0.405,0.486,0.9719
Alliance Challenger,5,Normal,Thermal resistant,Fast Charge,245.348,1.15,0.5075,0.7308,0.609
Alliance Challenger,5,Normal,Thermal resistant,Force Block,237.9875,1,0.5,0.6624,0.6
Alliance Challenger,5,Normal,Thermal resistant,Hi-Cap,260.0688,1,0.5,0.72,0.6
Alliance Challenger,5,Normal,Thermal resistant,Thermo Block,237.9875,1,0.5,0.72,0.552
Alliance Challenger,5,Normal,Thermal resistant,Multi-weave,245.348,1,0.485,0.6984,0.582
Alliance Challenger,5,Normal,Kinetic resistant,Fast Charge,245.348,1.15,0.5075,0.3045,1.4007
Alliance Challenger,5,Normal,Kinetic resistant,Force Block,237.9875,1,0.5,0.276,1.38
Alliance Challenger,5,Normal,Kinetic resistant,Hi-Cap,260.0688,1,0.5,0.3,1.38
Alliance Challenger,5,Normal,Kinetic resistant,Thermo Block,237.9875,1,0.5,0.3,1.2696
Alliance Challenger,5,Normal,Kinetic resistant,Multi-weave,245.348,1,0.485,0.291,1.3386
Alliance Challenger,5,Prismatic,Reinforced,Fast Charge,429.6602,1.15,0.4238,0.5085,1.017
Alliance Challenger,5,Prismatic,Reinforced,Force Block,416.7704,1,0.4175,0.4609,1.002
Alliance Challenger,5,Prismatic,Reinforced,Hi-Cap,455.4398,1,0.4175,0.501,1.002
Alliance Challenger,5,Prismatic,Reinforced,Thermo Block,416.7704,1,0.4175,0.501,0.9218
Alliance Challenger,5,Prismatic,Reinforced,Multi-weave,429.6602,1,0.405,0.486,0.9719
Alliance Challenger,5,Prismatic,Thermal resistant,Fast Charge,311.348,1.15,0.5075,0.7308,0.609
Alliance Challenger,5,Prismatic,Thermal resistant,Force Block,302.0075,1,0.5,0.6624,0.6
Alliance Challenger,5,Prismatic,Thermal resistant,Hi-Cap,330.0288,1,0.5,0.72,0.6
Alliance Challenger,5,Prismatic,Thermal resistant,Thermo Block,302.0075,1,0.5,0.72,0.552
Alliance Challenger,5,Prismatic,Thermal resistant,Multi-weave,311.348,1,0.485,0.6984,0.582
Alliance Challenger,5,Prismatic,Kinetic resistant,Fast Charge,311.348,1.15,0.5075,0.3045,1.4007
Alliance Challenger,5,Prismatic,Kinetic resistant,Force Block,302.0075,1,0.5,0.276,1.38
Alliance Challenger,5,Prismatic,Kinetic resistant,Hi-Cap,330.0288,1,0.5,0.3,1.38
Alliance Challenger,5,Prismatic,Kinetic resistant,Thermo Block,302.0075,1,0.5,0.3,1.2696
Alliance Challenger,5,Prismatic,Kinetic resistant,Multi-weave,311.348,1,0.485,0.291,1.3386
Alliance Challenger,6,Bi-Weave,Reinforced,Fast Charge,317.1085,3.68,0.4238,0.5085,1.017
Alliance Challenger,6,Bi-Weave,Reinforced,Force Block,307.5864,3.2,0.4175,0.4609,1.002
Alliance Challenger,6,Bi-Weave,Reinforced,Hi-Cap,336.1306,3.2,0.4175,0.501,1.002
Alliance Challenger,6,Bi-Weave,Reinforced,Thermo Block,307.5864,3.2,0.4175,0.501,0.9218
Alliance Challenger,6,Bi-Weave,Reinforced,Multi-weave,317.1085,3.2,0.405,0.486,0.9719
Alliance Challenger,6,Bi-Weave,Thermal resistant,Fast Charge,229.7887,3.68,0.5075,0.7308,0.609
Alliance Challenger,6,Bi-Weave,Thermal resistant,Force Block,222.8951,3.2,0.5,0.6624,0.6
Alliance Challenger,6,Bi-Weave,Thermal resistant,Hi-Cap,243.5761,3.2,0.5,0.72,0.6
Alliance Challenger,6,Bi-Weave,Thermal resistant,Thermo Block,222.8951,3.2,0.5,0.72,0.552
Alliance Challenger,6,Bi-Weave,Thermal resistant,Multi-weave,229.7887,3.2,0.485,0.6984,0.582
Alliance Challenger,6,Bi-Weave,Kinetic resistant,Fast Charge,229.7887,3.68,0.5075,0.3045,1.4007
Alliance Challenger,6,Bi-Weave,Kinetic resistant,Force Block,222.8951,3.2,0.5,0.276,1.38
Alliance Challenger,6,Bi-Weave,Kinetic resistant,Hi-Cap,243.5761,3.2,0.5,0.3,1.38
Alliance Challenger,6,Bi-Weave,Kinetic resistant,Thermo Block,222.8951,3.2,0.5,0.3,1.2696
Alliance Challenger,6,Bi-Weave,Kinetic resistant,Multi-weave,229.7887,3.2,0.485,0.291,1.3386
Alliance Challenger,6,Normal,Reinforced,Fast Charge,408.1885,1.495,0.4238,0.5085,1.017
Alliance Challenger,6,Normal,Reinforced,Force Block,395.9384,1.3,0.4175,0.4609,1.002
Alliance Challenger,6,Normal,Reinforced,Hi-Cap,432.6886,1.3,0.4175,0.501,1.002
Alliance Challenger,6,Normal,Reinforced,Thermo Block,395.9384,1.3,0.4175,0.501,0.9218
Alliance Challenger,6,Normal,Reinforced,Multi-weave,408.1885,1.3,0.405,0.486,0.9719
Alliance Challenger,6,Normal,Thermal resistant,Fast Charge,295.7887,1.495,0.5075,0.7308,0.609
Alliance Challenger,6,Normal,Thermal resistant,Force Block,286.9151,1.3,0.5,0.6624,0.6
Alliance Challenger,6,Normal,Thermal resistant,Hi-Cap,313.5361,1.3,0.5,0.72,0.6
Alliance Challenger,6,Normal,Thermal resistant,Thermo Block,286.9151,1.3,0.5,0.72,0.552
Alliance Challenger,6,Normal,Thermal resistant,Multi-weave,295.7887,1.3,0.485,0.6984,0.582
Alliance Challenger,6,Normal,Kinetic resistant,Fast Charge,295.7887,1.495,0.5075,0.3045,1.4007
Alliance Challenger,6,Normal,Kinetic resistant,Force Block,286.9151,1.3,0.5,0.276,1.38
Alliance Challenger,6,Normal,Kinetic resistant,Hi-Cap,313.5361,1.3,0.5,0.3,1.38
Alliance Challenger,6,Normal,Kinetic resistant,Thermo Block,286.9151,1.3,0.5,0.3,1.2696
Alliance Challenger,6,Normal,Kinetic resistant,Multi-weave,295.7887,1.3,0.485,0.291,1.3386
Alliance Challenger,6,Prismatic,Reinforced,Fast Charge,499.2685,1.15,0.4238,0.5085,1.017
Alliance Challenger,6,Prismatic,Reinforced,Force Block,484.2904,1,0.4175,0.4609,1.002
Alliance Challenger,6,Prismatic,Reinforced,Hi-Cap,529.2246,1,0.4175,0.501,1.002
Alliance Challenger,6,Prismatic,Reinforced,Thermo Block,484.2904,1,0.4175,0.501,0.9218
Alliance Challenger,6,Prismatic,Reinforced,Multi-weave,499.2685,1,0.405,0.486,0.9719
Alliance Challenger,6,Prismatic,Thermal resistant,Fast Charge,361.7887,1.15,0.5075,0.7308,0.609
Alliance Challenger,6,Prismatic,Thermal resistant,Force Block,350.9351,1,0.5,0.6624,0.6
Alliance Challenger,6,Prismatic,Thermal resistant,Hi-Cap,383.4961,1,0.5,0.72,0.6
Alliance Challenger,6,Prismatic,Thermal resistant,Thermo Block,350.9351,1,0.5,0.72,0.552
Alliance Challenger,6,Prismatic,Thermal resistant,Multi-weave,361.7887,1,0.485,0.6984,0.582
Alliance Challenger,6,Prismatic,Kinetic resistant,Fast Charge,361.7887,1.15,0.5075,0.3045,1.4007
Alliance Challenger,6,Prismatic,Kinetic resistant,Force Block,350.9351,1,0.5,0.276,1.38
Alliance Challenger,6,Prismatic,Kinetic resistant,Hi-Cap,383.4961,1,0.5,0.3,1.38
Alliance Challenger,6,Prismatic,Kinetic resistant,Thermo Block,350.9351,1,0.5,0.3,1.2696
Alliance Challenger,6,Prismatic,Kinetic resistant,Multi-weave,361.7887,1,0.485,0.291,1.3386
Alliance Chieftain,3,Bi-Weave,Reinforced,Fast Charge,110.5078,2.07,0.4238,0.5085,1.017
Alliance Chieftain,3,Bi-Weave,Reinforced,Force Block,107.1846,1.8,0.4175,0.4609,1.002
Alliance Chieftain,3,Bi-Weave,Reinforced,Hi-Cap,117.1343,1.8,0.4175,0.501,1.002
Alliance Chieftain,3,Bi-Weave,Reinforced,Thermo Block,107.1846,1.8,0.4175,0.501,0.9218
Alliance Chieftain,3,Bi-Weave,Reinforced,Multi-weave,110.5078,1.8,0.405,0.486,0.9719
Alliance Chieftain,3,Bi-Weave,Thermal resistant,Fast Charge,80.0781,2.07,0.5075,0.7308,0.609
Alliance Chieftain,3,Bi-Weave,Thermal resistant,Force Block,77.6758,1.8,0.5,0.6624,0.6
