Rating,Engineering,Experimental,ShieldStrengthBonus,ExpResBonus,KinResBonus,ThermResBonus
E,Resistance Augmented,Force Block,0.030,0.17,0.1866,0.17
A,Resistance Augmented,Blast Block,0.188,0.1866,0.17,0.17
B,Resistance Augmented,Blast Block,0.148,0.1866,0.17,0.17
C,Resistance Augmented,Blast Block,0.109,0.1866,0.17,0.17
D,Resistance Augmented,Blast Block,0.069,0.1866,0.17,0.17
E,Resistance Augmented,Blast Block,0.030,0.1866,0.17,0.17
A,Resistance Augmented,Super Capacitors,0.260,0.1534,0.1534,0.1534
B,Resistance Augmented,Super Capacitors,0.218,0.1534,0.1534,0.1534
C,Resistance Augmented,Super Capacitors,0.176,0.1534,0.1534,0.1534
D,Resistance Augmented,Super Capacitors,0.134,0.1534,0.1534,0.1534
E,Resistance Augmented,Super Capacitors,0.092,0.1534,0.1534,0.1534
